summit_name,deaths_on_summit,accidents
Baustein,0.0,0.0
Turnernadel,0.0,0.0
Knabe,0.0,0.0
Mittlerer Lagerwächter,0.0,0.0
Unterer Lagerwächter,0.0,0.0
Kirnitzschwand,0.0,0.0
Schweinskopf,0.0,0.0
Schießgrundscheibe,0.0,0.0
Rübezahl,0.0,0.0
Steinschluchtwand,0.0,0.0
Obrigenwand,0.0,0.0
Flasche,0.0,0.0
Unbenannte Spitze,0.0,0.0
Östlicher Schrammturm,0.0,0.0
Golem,0.0,0.0
Wetterhaube,0.0,0.0
Mädel,0.0,0.0
Säule,0.0,0.0
Satan,0.0,0.0
Gespaltener Kegel,0.0,0.0
Vorderer Torsteinkegel,0.0,0.0
Kirnitzschturm,0.0,0.0
Kladderadatsch,0.0,0.0
Nördlicher Schrammturm,0.0,0.0
Jubiläumsturm,0.0,0.0
Schrammsteinnadel,0.0,0.0
Schrammsteinturm,0.0,0.0
Hinterer Torsteinkegel,0.0,0.0
Pilzwand (Pilzturm),0.0,0.0
Rhombus,0.0,1.0
Bärensteinscheibe,0.0,3.0
Bärensteinwächter,0.0,2.0
Bärensteinwarte,0.0,0.0
Bärensteinklotz,0.0,0.0
Berg-Heil-Scheibe,1.0,0.0
Knöchel,0.0,6.0
Khedive,0.0,0.0
Laasenturm,0.0,11.0
Heini,0.0,0.0
Pfingstnadel,0.0,0.0
Kubus,0.0,0.0
Frosch,0.0,0.0
Barriere,0.0,1.0
Stelzchenkegel,0.0,0.0
Quirlwächter,0.0,0.0
Dreikanter,0.0,0.0
Quader,0.0,0.0
Pfaffenhütchen,0.0,0.0
Klamotte,0.0,0.0
Steinerne Scheune,0.0,1.0
Bruchwächter,0.0,0.0
Winkelblock,0.0,0.0
Rotsteinkegel,0.0,0.0
Maus,0.0,0.0
Ratsleitenturm,0.0,0.0
Struppengrundkegel,0.0,0.0
Drei Bären,0.0,0.0
Bärensteinnadel,0.0,0.0
Bärensteinturm,2.0,2.0
Khan,0.0,0.0
Dreizack,1.0,0.0
Rauensteinkopf,0.0,0.0
Dreifreundestein,0.0,9.0
Rauensteinspitze,0.0,0.0
Rauensteinturm,0.0,7.0
Panoramascheibe (Rauensteinscheibe),0.0,1.0
Rauensteinwächter,0.0,0.0
Liliensteinwächter,0.0,0.0
Liliensteinnadel,0.0,6.0
Spanghornturm,0.0,0.0
Teichwächter,1.0,1.0
Kiefernturm,0.0,0.0
Labyrinthwächter,0.0,0.0
Schiefer Block,0.0,0.0
Pfingstkegel,0.0,0.0
Nikolsdorfer Turm,0.0,1.0
Nikolsdorfer Nadel,0.0,0.0
Bundesfels,0.0,1.0
Nordturm,0.0,1.0
Nordkopf,0.0,1.0
Haselmaus,0.0,0.0
Dreimännerturm,0.0,0.0
Abendwand,0.0,0.0
Hintere Abendwand,0.0,0.0
Ratte,0.0,0.0
Bilch,0.0,0.0
Einsamer Ritter,0.0,0.0
Wolfswand,0.0,1.0
Julikopf,0.0,0.0
Berglerturm,0.0,2.0
Pfaffenkopf (Buchfinkenturm),0.0,0.0
Schildkröte,0.0,0.0
Wilder Turm,0.0,1.0
Fritschfels,0.0,4.0
Vierling,0.0,1.0
Stiller Turm,0.0,0.0
Keilerturm,1.0,3.0
Muselmann,0.0,0.0
Narrenkappe,0.0,3.0
Zwergfels,0.0,3.0
Findling,0.0,0.0
Kleine Hunskirche,0.0,6.0
Räuberhöhlenturm,0.0,1.0
Schmale Wand,0.0,0.0
Kleingießhübler Turm,0.0,0.0
Zschirnsteinwächter,0.0,1.0
Zschirnsteinwarte,0.0,0.0
Wackelstein,1.0,2.0
Rentnerturm,0.0,0.0
Dicke Berta,0.0,0.0
Cunnersdorfer Nadel,0.0,0.0
Lampertshorn,1.0,0.0
Thürmsdorfer Stein,1.0,7.0
Riegelkopf,0.0,5.0
Conradturm,1.0,1.0
Nonne,2.0,14.0
Vergessener Turm,0.0,1.0
Einsiedler,0.0,3.0
Raue Zinne,2.0,2.0
Nördliche Pfaffenschluchtspitze,1.0,3.0
Südliche Pfaffenschluchtspitze,0.0,2.0
Junggeselle,0.0,2.0
Jäckelfels,0.0,2.0
Orgelpfeifenwand,0.0,1.0
Königsspitze,0.0,3.0
Förster,0.0,2.0
Zwillinge,0.0,1.0
Abgetrennte Wand,0.0,2.0
Große Hunskirche,1.0,8.0
Kleiner Zschirnsteinturm,0.0,2.0
Großer Zschirnsteinturm,0.0,2.0
Pfaffenstein,0.0,1.0
